TYPE,ADDRESS,LOCATION,LOCATION_2,ENTRANCE_T,TYPE_2,LAT,LNG
Pedestrian and Vehicular,2700 WEST RIVER DR,West Fairmount Park,West Comfort Station,"Trail - Park, Parking Lot",Primary,40.0014048866,-75.1927157961
Vehicular,WEST RIVER DR,West Fairmount Park, ,"Trail - Park, Parking Lot",Primary,40.0013864965,-75.1925751386
Vehicular,WEST RIVER DR,West Fairmount Park, ,"Trail - Park, Parking Lot",Primary,40.0004264615,-75.1928840765
Pedestrian and Vehicular,STRAWBERRY MANSION DR,West Fairmount Park, ,Road,Primary,39.9957220158,-75.1949217567
Pedestrian and Vehicular,WEST RIVER DR,West Fairmount Park, ,"Trail - Park, Parking Lot",Primary,39.9918992711,-75.1997205809
Pedestrian and Vehicular,WEST RIVER DR,West Fairmount Park, ,"Trail - Park, Parking Lot",Primary,39.9927185234,-75.1986112279
Pedestrian and Vehicular,WEST RIVER DR,West Fairmount Park, ,"Trail - Park, Parking Lot",Primary,39.9897479241,-75.2025034663
Pedestrian and Vehicular,WEST RIVER DR,West Fairmount Park, ,"Trail - Park, Parking Lot",Primary,39.9886816705,-75.2033337599
Pedestrian and Vehicular,1802 WEST RIVER DR,West Fairmount Park,West River Drive Stables,"Trail - Park, Road",Primary,39.9887097835,-75.2035264057
Pedestrian and Vehicular,1802 WEST RIVER DR,West Fairmount Park,West River Drive Stables,"Trail - Park, Road",Primary,39.9899659626,-75.2025262791
Pedestrian and Vehicular,MONTGOMERY DR,West Fairmount Park, ,"Trail - Park, Road",Primary,39.9865700419,-75.2052134088
Vehicular,BLACK RD,West Fairmount Park, ,"Trail - Park, Parking Lot",Primary,39.9827835512,-75.2063290841
Pedestrian and Vehicular,WEST RIVER DR,West Fairmount Park, ,"Trail - Park, Parking Lot",Primary,39.9807331741,-75.2047978874
Pedestrian,BALTIMORE AVE,Cobbs Creek Park, ,Trail - Park,Primary,39.9437287713,-75.2458890426
Pedestrian and Vehicular,WOODLAND AVE,Cobbs Creek Park,Blue Bell Tavern,"Trail - Park, Road, Parkling lot",Primary,39.9172768915,-75.2463754666
Pedestrian,COBBS CREEK PKWY,Cobbs Creek Park, ,Trail - Park,Primary,39.9241189927,-75.2456546288
Pedestrian,COBBS CREEK PKWY,Cobbs Creek Park, ,Trail - Park,Primary,39.9246155961,-75.2454414548
Pedestrian,COBBS CREEK PKWY,Cobbs Creek Park, ,Trail - Park,Primary,39.9259250043,-75.2458503284
Pedestrian,S 67TH ST,Cobbs Creek Park, ,Trail - Park,Primary,39.9279154228,-75.2451865498
Pedestrian,S 65TH ST,Cobbs Creek Park, ,Trail - Park,Primary,39.9295372826,-75.2431701568
Pedestrian,S 65TH ST,Cobbs Creek Park, ,Trail - Park,Primary,39.9297654897,-75.2444012868
Pedestrian,COBBS CREEK PKWY,Cobbs Creek Park, ,Trail - Park,Primary,39.9346355906,-75.2431686143
Vehicular,COBBS CREEK PKWY,Cobbs Creek Park, ,Road,Secondary,39.9332044817,-75.240783694
Pedestrian,COBBS CREEK PKWY,Cobbs Creek Park, ,Trail - Park,Primary,39.933673791,-75.2396266878
Pedestrian,COBBS CREEK PKWY,Cobbs Creek Park, ,Trail - Park,Primary,39.9337101331,-75.2371073258
Pedestrian,COBBS CREEK PKWY,Cobbs Creek Park, ,Trail - Park,Primary,39.9378481444,-75.2340400007
Pedestrian,COBBS CREEK PKWY,Cobbs Creek Park, ,Trail - Park,Primary,39.9379496572,-75.2369951625
Vehicular,WHITBY AVE,Cobbs Creek Park, ,Road,Secondary,39.9401815822,-75.2423816886
Pedestrian,WHITBY AVE,Cobbs Creek Park, ,Trail - Park,Primary,39.9400282648,-75.2396587036
Pedestrian,COBBS CREEK PKWY,Cobbs Creek Park, ,Trail - Park,Primary,39.9402521005,-75.2366419325
Pedestrian and Vehicular,COBBS CREEK PKWY,Cobbs Creek Park, ,"Trail - Park, Road, Parkling lot",Primary,39.9414185769,-75.2380354678
Pedestrian,COBBS CREEK PKWY,Cobbs Creek Park, ,Trail - Park,Primary,39.9414061665,-75.2383156
Pedestrian,WHITBY AVE,Cobbs Creek Park, ,Trail - Park,Primary,39.9396605964,-75.238765875
Pedestrian,WHITBY AVE,Cobbs Creek Park, ,Trail - Park,Primary,39.9401717102,-75.2367859309
Pedestrian,COBBS CREEK PKWY,Cobbs Creek Park, ,Trail - Park,Primary,39.9426574248,-75.2393518575
Pedestrian and Vehicular,FORBIDDEN DR,Wissahickon Valley Park, ,"Trail - Park, Road, Parkling lot",Primary,40.0274777027,-75.1926552241
Pedestrian and Vehicular,STRAWBERRY MANSION DR,East Fairmount Park, ,"Trail - Park, Road",Primary,39.994806154,-75.1926875907
Pedestrian and Vehicular,4001 LANSDOWNE DR,West Fairmount Park,CEDAR GROVE,"Trail - Park, Road",Primary,39.9786179347,-75.2062627664
Pedestrian and Vehicular,4231 N CONCOURSE DR,West Fairmount Park,Memorial Hall,"Trail - Park, Road",Primary,39.9786937,-75.2066085033
Pedestrian,HAMMOND AVE,Tacony Creek Park,Hammond and Nedro Building,Park Entry,Primary,40.040028358,-75.1161410834
Vehicular,5658 RISING SUN AVE,Tacony Creek Park,Rising Sun Office,"Road, Parking Lot",Secondary,40.0373772122,-75.1126762092
Pedestrian,CHEW AVE,Tacony Creek Park, ,Trail - Park,Secondary,40.0370973012,-75.1147284578
Pedestrian,RISING SUN AVE,Tacony Creek Park, ,Trail - Park,Primary,40.0363348729,-75.1134405654
Pedestrian,RISING SUN AVE,Tacony Creek Park, ,Trail - Park,Primary,40.0362561289,-75.1132808373
Pedestrian,GARLAND ST,Tacony Creek Park,Recreation Equipment,Trail - Park,Primary,40.0340451295,-75.1100951091
Pedestrian,E TABOR RD,Tacony Creek Park, ,Trail - Park,Primary,40.0310788404,-75.1112969962
Pedestrian,E OLNEY AVE,Tacony Creek Park, ,Trail - Park,Primary,40.0310190514,-75.111978377
Pedestrian,E TABOR RD,Tacony Creek Park, ,Trail - Park,Primary,40.0308318891,-75.1115053316
Pedestrian,E TABOR RD,Tacony Creek Park, ,Trail - Park,Primary,40.0309127081,-75.1112946248
Pedestrian,RISING SUN AVE,Tacony Creek Park,Small Welcome Park - Tacony Park Sign,Plaza,Secondary,40.0344409694,-75.1147185104
Pedestrian,E TABOR RD,Tacony Creek Park, ,Park Entry,Secondary,40.0312171104,-75.110363761
Pedestrian,ROOSEVELT BLVD,Tacony Creek Park, ,Trail - Park,Primary,40.0274562177,-75.1137656238
Pedestrian,BINGHAM ST,Tacony Creek Park, ,Trail - Park,Primary,40.0282301815,-75.1136458464
Pedestrian,RORER ST,Tacony Creek Park, ,Trail - Park,Primary,40.0265004862,-75.1142998448
Pedestrian and Vehicular,4800 WHITAKER AVE,Tacony Creek Park,Vaird Boys/Girls Club,"Trail - Park, Road",Primary,40.0218073656,-75.1128151921
Pedestrian,PENNWAY ST,Tacony Creek Park, ,Trail - Park,Secondary,40.0234324115,-75.1092747261
Pedestrian,WYOMING AVE,Tacony Creek Park, ,Trail - Park,Primary,40.0213367319,-75.1110564509
Pedestrian,FISHERS LN,Tacony Creek Park, ,Trail - Park,Primary,40.0210026615,-75.1039053026
Pedestrian,RAMONA AVE,Tacony Creek Park,Juniata Golf Course,Trail - Park,Primary,40.0166797979,-75.1077823361
Pedestrian,RAMONA AVE,Tacony Creek Park,Juniata Golf Course,Trail - Park,Primary,40.015750985,-75.1071069988
Pedestrian,I ST & CAYUGA,Tacony Creek Park,Ferko Playground,Trail - Park,Primary,40.0147366057,-75.1072163542
Pedestrian,1101 E CAYUGA ST,Tacony Creek Park,Ferko Playground,Trail - Park,Primary,40.0144283763,-75.1050088036
Pedestrian and Vehicular,1101 E CAYUGA ST,Tacony Creek Park,Ferko Playground,Park Entry,Primary,40.0142414717,-75.1035742871
Pedestrian and Vehicular,1101 E CAYUGA ST,Tacony Creek Park,Ferko Playground,Park Entry,Primary,40.0140620117,-75.1021948691
Pedestrian and Vehicular,1391 E CAYUGA ST,Tacony Creek Park,Juniata Golf Course,Park Entry,Primary,40.0139973442,-75.1015425174
Vehicular,1391 E CAYUGA ST,Tacony Creek Park,Juniata Golf Course,Park Entry,Secondary,40.0186383358,-75.1017231102
Pedestrian and Vehicular,PINE RD,Pennypack Creek Park,Fox Chase Farm,Park Entry,Primary,40.090229064,-75.0697744172
Pedestrian and Vehicular,PINE RD,Pennypack Creek Park,Fox Chase Farm,Park Entry,Primary,40.088612432,-75.072217457
Pedestrian,PINE & BLOOMFIELD,Pennypack Creek Park, ,Trail - Park,Primary,40.0922708289,-75.0661714857
Pedestrian,PINE RD,Pennypack Creek Park, ,Trail - Park,Primary,40.0904711917,-75.0688393581
Pedestrian and Vehicular,PINE RD,Pennypack Creek Park, ,"Trail - Park, Road, Parking lot",Primary,40.0896258151,-75.0701023149
Pedestrian,PINE RD,Pennypack Creek Park, ,Trail - Park,Primary,40.0868174129,-75.0742846876
Pedestrian,VERREE RD,Pennypack Creek Park, ,Trail - Park,Primary,40.0845463438,-75.0648222658
Pedestrian,VERREE RD,Pennypack Creek Park, ,Road,Secondary,40.0845226893,-75.0622395387
Pedestrian and Vehicular,VERREE RD,Pennypack Creek Park, ,"Trail - Park, Road, Parking lot",Primary,40.0851982834,-75.061449633
Pedestrian,VERREE RD,Pennypack Creek Park, ,Trail - Park,Primary,40.0856864976,-75.0603667911
Pedestrian,VERREE RD,Pennypack Creek Park, ,Trail - Park,Primary,40.0858040994,-75.0605400114
Pedestrian and Vehicular,VERREE RD,Pennypack Creek Park,PP Environmental Center,"Trail - Park, Road, Parking lot",Primary,40.0873165719,-75.0587116046
Pedestrian,BLOOMFIELD AVE,Pennypack Creek Park, ,Trail - Park,Primary,40.0898195196,-75.0575944642
Pedestrian,BLOOMFIELD AVE,Pennypack Creek Park, ,Trail - Park,Primary,40.0899639971,-75.0579540348
Pedestrian,BLOOMFIELD AVE,Pennypack Creek Park, ,Trail - Park,Primary,40.0902373705,-75.0609069774
Pedestrian,BLOOMFIELD AVE,Pennypack Creek Park, ,Trail - Park,Primary,40.0904603329,-75.0636430917
Pedestrian,BLOOMFIELD AVE,Pennypack Creek Park, ,Trail - Park,Primary,40.0905507557,-75.0640542972
Pedestrian,VERREE RD,Pennypack Creek Park, ,Trail - Park,Secondary,40.0870773425,-75.0586209538
Pedestrian,VERREE RD,Pennypack Creek Park,May be a rogue trail,Trail - Park,Secondary,40.0832123988,-75.0639568452
Pedestrian and Vehicular,VERREE RD,Pennypack Creek Park, ,"Trail - Park, Road, Parking lot",Primary,40.0804185212,-75.0680344382
Pedestrian,TABOR AVE,Pennypack Creek Park, ,Trail - Park,Primary,40.0754668118,-75.0674578287
Vehicular,KREWSTOWN RD,Pennypack Creek Park, ,Road,Secondary,40.0804573338,-75.0517425283
Pedestrian and Vehicular,8640 KREWSTOWN RD,Pennypack Creek Park,Krewstown Stables Barn,"Trail - Park, Road, Parking lot",Secondary,40.0793881122,-75.0528884426
Pedestrian and Vehicular,8640 KREWSTOWN RD,Pennypack Creek Park,Krewstown Stables Barn,"Trail - Park, Road, Parking lot",Secondary,40.0787832947,-75.0535078323
Pedestrian,KREWSTOWN RD,Pennypack Creek Park,May be a rogue trail,Trail - Park,Primary,40.0810022385,-75.0497327365
Pedestrian,DALE RD,Pennypack Creek Park,May be a rogue trail,Trail - Park,Secondary,40.0797514117,-75.0449607881
Pedestrian,KREWSTOWN RD,Pennypack Creek Park, ,Trail - Park,Primary,40.0777190577,-75.0537733379
Pedestrian and Vehicular,KREWSTOWN RD,Pennypack Creek Park, ,"Trail - Park, Road, Parking lot",Primary,40.0766624812,-75.0546667309
Pedestrian,KREWSTOWN RD,Pennypack Creek Park, ,Trail - Park,Primary,40.0750623748,-75.0559671105
Pedestrian,KREWSTOWN RD,Pennypack Creek Park, ,Trail - Park,Primary,40.0741424449,-75.0560336001
Vehicular,ALGON AVE,Pennypack Creek Park, ,Road,Secondary,40.0733284848,-75.0559353086
Pedestrian,ALGON AVE,Pennypack Creek Park, ,Trail - Park,Primary,40.0740737073,-75.0545396245
Pedestrian,TABOR AVE,Pennypack Creek Park, ,Trail - Park,Primary,40.0729860576,-75.0686827521
Pedestrian,TABOR AVE,Pennypack Creek Park, ,Trail - Park,Primary,40.0726514733,-75.0689214234
Pedestrian,TABOR AVE,Pennypack Creek Park, ,Trail - Park,Primary,40.0717740684,-75.0689084848
Pedestrian,TABOR AVE,Pennypack Creek Park,May be a rogue trail,Trail - Park,Secondary,40.0720758296,-75.0688642598
Pedestrian and Vehicular,DORCAS ST,Pennypack Creek Park,May be a rogue trail,Trail - Park,Secondary,40.0719699565,-75.0599378549
Pedestrian,BENTON AVE,Pennypack Creek Park, ,Trail - Park,Primary,40.0758546105,-75.0466116421
Pedestrian,BUSTLETON AVE,Pennypack Creek Park, ,Trail - Park,Primary,40.0749086663,-75.0457831619
Pedestrian,WINCHESTER AVE,Pennypack Creek Park, ,Trail - Park,Primary,40.0754554762,-75.0420111568
Pedestrian and Vehicular,WINCHESTER AVE,Pennypack Creek Park,Maternity B.V.M. Roman Catholic Church,Road,Primary,40.0770655131,-75.0431706979
Pedestrian,PENNYPACK PATH,Pennypack Creek Park, ,Trail - Park,Primary,40.0730468212,-75.0402977293
Pedestrian,WINCHESTER AVE,Pennypack Creek Park, ,Trail - Park,Primary,40.0689304025,-75.0407615363
Vehicular,ROOSEVELT BLVD,Pennypack Creek Park, ,Road,Secondary,40.0684370737,-75.0401405324
Vehicular,ROOSEVELT BLVD,Pennypack Creek Park, ,Road,Secondary,40.0649216447,-75.0417005267
Pedestrian,ROOSEVELT BLVD,Pennypack Creek Park, ,Trail - Park,Primary,40.0652823769,-75.0419033188
Pedestrian and Vehicular,88605 E ROOSEVELT BLVD,Pennypack Creek Park,"NE Chamber of Commerce, Axe Factory Office","Trail - Park, Road, Parking lot",Primary,40.0672245942,-75.0403384769
Pedestrian and Vehicular,88605 E ROOSEVELT BLVD,Pennypack Creek Park,"NE Chamber of Commerce, Axe Factory Office","Trail - Park, Road, Parking lot",Primary,40.0667700806,-75.0405441864
Pedestrian and Vehicular,WINCHESTER AVE,Pennypack Creek Park, ,"Trail - Park, Road",Primary,40.067606001,-75.038569173
Pedestrian,WINCHESTER AVE,Pennypack Creek Park,<Null>,Trail - Park,Primary,40.0668227193,-75.0372160427
Pedestrian,WINCHESTER AVE,Pennypack Creek Park,<Null>,Trail - Park,Primary,40.0665646154,-75.0367848183
Pedestrian,WINCHESTER AVE,Pennypack Creek Park, ,Trail - Park,Primary,40.0658927819,-75.0356758814
Pedestrian,WINCHESTER AVE,Pennypack Creek Park, ,Trail - Park,Primary,40.0655395126,-75.0350402454
Pedestrian,WINCHESTER AVE,Pennypack Creek Park,May be a rogue trail,Trail - Park,Secondary,40.0612022116,-75.0335576982
Pedestrian,WINCHESTER AVE,Pennypack Creek Park,May be a rogue trail,Trail - Park,Secondary,40.0609687234,-75.0336647825
Pedestrian,WINCHESTER AVE,Pennypack Creek Park, ,Trail - Park,Primary,40.0604772499,-75.0339075013
Vehicular,HOLME AVE,Pennypack Creek Park, ,Road,Secondary,40.0573527875,-75.0344213485
Vehicular,HOLME AVE,Pennypack Creek Park, ,Road,Secondary,40.0583920528,-75.0383226216
Pedestrian,HOLME AVE,Pennypack Creek Park, ,Trail - Park,Primary,40.0582246092,-75.0384120181
Pedestrian,HOLME AVE,Pennypack Creek Park, ,Trail - Park,Primary,40.0575095787,-75.0356552729
Pedestrian,HOLME AVE,Pennypack Creek Park, ,Trail - Park,Primary,40.0577447336,-75.0353638369
Pedestrian,WINCHESTER AVE,Pennypack Creek Park, ,Trail - Park,Primary,40.0556840721,-75.0354217567
Pedestrian,WINCHESTER AVE,Pennypack Creek Park, ,Trail - Park,Primary,40.0555420424,-75.0355213848
Pedestrian,LEXINGTON AVE,Pennypack Creek Park, ,Trail - Park,Primary,40.0536428517,-75.0398718175
Vehicular,RHAWN ST,Pennypack Creek Park, ,Road,Secondary,40.0531094981,-75.0401444351
Pedestrian,RHAWN ST,Pennypack Creek Park, ,Trail - Park,Primary,40.0514451965,-75.0372192437
Pedestrian,HOLMEHURST AVE,Pennypack Creek Park, ,Trail - Park,Primary,40.0510768572,-75.0357782785
Pedestrian,HOLMEHURST AVE,Pennypack Creek Park, ,Trail - Park,Primary,40.0512196921,-75.0360015816
Pedestrian and Vehicular,RHAWN ST,Pennypack Creek Park,Main Entrance,"Trail - Park, Road, Parking lot",Primary,40.0503980689,-75.0352783047
Pedestrian,PENNYPACK PATH,Pennypack Creek Park, ,Trail - Park,Primary,40.0490906739,-75.0334060662
Pedestrian,CRESCO AVE,Pennypack Creek Park, ,Trail - Park,Primary,40.0486155227,-75.0303153509
Pedestrian and Vehicular,RHAWN ST,Pennypack Creek Park, ,"Trail - Park, Road",Secondary,40.0478633053,-75.0316142073
Pedestrian,WINCHESTER AVE,Pennypack Creek Park, ,Trail - Park,Primary,40.0513560425,-75.031304367
Vehicular,WELSH RD,Pennypack Creek Park, ,Road,Secondary,40.0506466466,-75.0267088611
Vehicular,WELSH RD,Pennypack Creek Park, ,Road,Secondary,40.0484716328,-75.0260196427
Pedestrian,WELSH RD,Pennypack Creek Park, ,Trail - Park,Primary,40.0506301156,-75.0265835725
Pedestrian,CRESCO AVE,Pennypack Creek Park,Main Entrance,Trail - Park,Primary,40.0484051679,-75.0261789597
Pedestrian,SOLLY AVE,Pennypack Creek Park, ,Trail - Park,Primary,40.0491001401,-75.0243919943
Pedestrian,FRANKFORD AVE,Pennypack Creek Park, ,Trail - Park,Primary,40.043682898,-75.0196950619
Pedestrian,FRANKFORD AVE,Pennypack Creek Park, ,Trail - Park,Primary,40.0437077962,-75.0211817356
Pedestrian,FRANKFORD AVE,Pennypack Creek Park,Rocky Falls Day Camp,Trail - Park,Primary,40.0439134455,-75.0216019499
Pedestrian,FRANKFORD AVE,Pennypack Creek Park, ,Trail - Park,Primary,40.0434733606,-75.0201419198
Pedestrian,ENFIELD AVE,Pennypack Creek Park, ,Trail - Park,Primary,40.0411304462,-75.019708894
Pedestrian,TORRESDALE AVE,Pennypack Creek Park, ,Trail - Park,Primary,40.0381640852,-75.0198479371
Pedestrian,TORRESDALE AVE,Pennypack Creek Park, ,Trail - Park,Primary,40.0377668728,-75.0206064137
Pedestrian,PENNYPACK PATH,Pennypack Creek Park, ,Trail - Park,Primary,40.0364421174,-75.0227576867
Vehicular,TORRESDALE AVE,Pennypack Creek Park, ,Road,Secondary,40.0362415132,-75.0234145802
Vehicular,TORRESDALE AVE,Pennypack Creek Park, ,Road,Secondary,40.0372086079,-75.0214683228
Pedestrian,PENNYPACK PATH,Pennypack Creek Park, ,Trail - Park,Primary,40.0320112058,-75.0206935626
Vehicular,STATE RD,Pennypack Creek Park, ,Parking lot,Primary,40.0331672732,-75.0171014855
Vehicular,STATE RD,Pennypack Creek Park, ,Road,Secondary,40.0305421492,-75.0148616409
Vehicular,STATE RD,Pennypack Creek Park, ,"Trail - Park, Road, Parking lot",Primary,40.033461696,-75.0133403761
Pedestrian,PENNYPACK ST,Pennypack Creek Park, ,Trail - Park,Primary,40.0348329457,-75.0012918321
Pedestrian and Vehicular,STATE RD,Pennypack Creek Park, ,"Trail - Park, Road, Parking lot",Primary,40.0307777527,-75.0224218371
Pedestrian,TREVOSE RD,Poquessing Creek Park, ,Trail - Park,Primary,40.1317894035,-74.9938547485
Pedestrian,STEVENS RD,Poquessing Creek Park, ,Trail - Park,Primary,40.126611715,-74.99495148
Pedestrian,STEVENS RD,Poquessing Creek Park, ,Trail - Park,Primary,40.1264372747,-74.9951396919
Pedestrian,POQUESSING CREEK DR,Poquessing Creek Park, ,Trail - Park,Primary,40.1260648758,-74.989977583
Pedestrian,POQUESSING CREEK DR,Poquessing Creek Park, ,Trail - Park,Primary,40.1257025532,-74.989611618
Pedestrian,POQUESSING CREEK DR,Poquessing Creek Park, ,Trail - Park,Primary,40.1244988998,-74.9889000546
Pedestrian and Vehicular,TOWNSEND RD,Poquessing Creek Park, ,"Trail - Park, Road",Primary,40.1173119154,-74.9641867615
Pedestrian and Vehicular,TOWNSEND RD,Poquessing Creek Park, ,"Trail - Park, Road",Primary,40.1175092358,-74.9659976003
Pedestrian,TOWNSEND RD,Poquessing Creek Park, ,Trail - Park,Primary,40.1174671024,-74.9655738281
Pedestrian,TOWNSEND RD,Poquessing Creek Park, ,Trail - Park,Primary,40.1174199631,-74.9651304153
Pedestrian,TOWNSEND RD,Poquessing Creek Park, ,Trail - Park,Primary,40.1173083104,-74.9647072651
Pedestrian,TOWNSEND RD,Poquessing Creek Park, ,Trail - Park,Primary,40.1172921551,-74.9645233548
Pedestrian,MEETING HOUSE RD,Poquessing Creek Park, ,Trail - Park,Primary,40.1152304861,-74.9656218519
Pedestrian,MEETING HOUSE RD,Poquessing Creek Park, ,Trail - Park,Primary,40.1146625478,-74.9655017215
Pedestrian,MEETING HOUSE RD,Poquessing Creek Park, ,Trail - Park,Primary,40.1140574321,-74.9653821898
Pedestrian,MEETING HOUSE RD,Poquessing Creek Park, ,Trail - Park,Primary,40.1133257434,-74.9653521645
Pedestrian,MECHANICSVILLE RD,Poquessing Creek Park, ,Trail - Park,Primary,40.1100158928,-74.9655863061
Pedestrian,DUNKS FERRY RD,Poquessing Creek Park, ,Trail - Park,Primary,40.1001340317,-74.9762748721
Pedestrian,DUNKS FERRY RD,Poquessing Creek Park, ,Trail - Park,Primary,40.1002654637,-74.9763742271
Pedestrian,MEDFORD RD,Poquessing Creek Park, ,Trail - Park,Primary,40.0989355944,-74.9748240207
Pedestrian,MEDFORD RD,Poquessing Creek Park, ,Trail - Park,Primary,40.0988713972,-74.9746315545
Pedestrian,ACADEMY RD,Poquessing Creek Park, ,Trail - Park,Primary,40.0970029162,-74.9737373352
Pedestrian,TORREY RD,Poquessing Creek Park, ,Trail - Park,Primary,40.0967927067,-74.9708717357
Pedestrian,TORREY RD,Poquessing Creek Park, ,Trail - Park,Primary,40.097244016,-74.9703747998
Pedestrian,LESTER RD,Poquessing Creek Park, ,Trail - Park,Primary,40.0981483559,-74.9690648953
Pedestrian,MEDFORD RD,Poquessing Creek Park, ,Trail - Park,Primary,40.0972343861,-74.9646252554
Pedestrian,MEDFORD RD,Poquessing Creek Park, ,Trail - Park,Primary,40.0972292614,-74.9647544371
Pedestrian,MEDFORD RD,Poquessing Creek Park, ,Trail - Park,Primary,40.0963926338,-74.9647686915
Pedestrian,NANTON DR,Poquessing Creek Park, ,Trail - Park,Primary,40.0952052572,-74.9682234583
Pedestrian,NANTON DR,Poquessing Creek Park, ,Trail - Park,Primary,40.0954421271,-74.9678259182
Pedestrian,NANTON DR,Poquessing Creek Park, ,Trail - Park,Primary,40.0956260679,-74.9673208883
Pedestrian,ACADEMY RD,Poquessing Creek Park, ,Trail - Park,Primary,40.0960769632,-74.9701035463
Pedestrian,VINTON RD,Poquessing Creek Park,May be a rogue trail,Trail - Park,Secondary,40.100843646,-74.961911546
Pedestrian,WHITING RD,Poquessing Creek Park, ,Trail - Park,Primary,40.08118008,-74.9677198675
Pedestrian and Vehicular,DENMAN RD,Poquessing Creek Park, ,"Trail - Park, Road",Secondary,40.0793453693,-74.9705952327
Pedestrian,TELFAIR RD,Poquessing Creek Park, ,Trail - Park,Primary,40.077991166,-74.9691289862
Pedestrian,DEERPATH LN,Poquessing Creek Park, ,Trail - Park,Primary,40.0760396263,-74.9718831423
Pedestrian,DEERPATH LN,Poquessing Creek Park, ,Trail - Park,Primary,40.0759046127,-74.9720298288
Pedestrian,DIMARCO DR,Poquessing Creek Park, ,Trail - Park,Primary,40.0720730199,-74.9744697761
Pedestrian,RED LION RD,Poquessing Creek Park, ,Trail - Park,Primary,40.0675066296,-74.9801530647
Pedestrian,KINGHTS RD,Poquessing Creek Park, ,Trail - Park,Primary,40.0668376556,-74.9819136364
Vehicular,RED LION RD,Poquessing Creek Park, ,Trail - Park,Secondary,40.0673449727,-74.9800780561
Pedestrian,RED LION RD,Poquessing Creek Park, ,Trail - Park,Primary,40.0662624852,-74.9808977889
Pedestrian,KINGHTS RD,Poquessing Creek Park, ,Trail - Park,Secondary,40.0663167851,-74.9817673325
Vehicular,RED LION RD,Poquessing Creek Park, ,Trail - Park,Secondary,40.0655514665,-74.9810145759
Pedestrian,HEGERMAN ST,Poquessing Creek Park, ,Trail - Park,Primary,40.0613187298,-74.9815410298
Pedestrian,HEGERMAN ST,Poquessing Creek Park, ,Trail - Park,Primary,40.0602220733,-74.9821554416
Pedestrian and Vehicular,STEVENSON ST,Poquessing Creek Park, ,Trail - Park,Primary,40.0582365144,-74.9844839825
Pedestrian,COBBS CREEK PKWY,Cobbs Creek Park, ,Trail - Park,Primary,39.9810870215,-75.2815405269
Pedestrian,COBBS CREEK PKWY,Cobbs Creek Park, ,Trail - Park,Primary,39.9801133665,-75.2810357994
Pedestrian,COBBS CREEK PKWY,Cobbs Creek Park, ,Trail - Park,Primary,39.9790325088,-75.281355211
Pedestrian and Vehicular,CITY AVE,Cobbs Creek Park, ,"Trail - Park, Road",Secondary,39.9767717887,-75.2830734227
Pedestrian and Vehicular,CITY AVE,Cobbs Creek Park,Cobbs Creek Driving Range,"Park, Road, Parking lot",Primary,39.975427827,-75.2792475386
Pedestrian,CITY AVE,Cobbs Creek Park,Cobbs Creek & Karakung Golf Course,Trail - Park,Secondary,39.9761518094,-75.2778641932
Vehicular,HAVERFORD AVE,Cobbs Creek Park,Rose Playground,Road,Primary,39.9727051684,-75.2618362012
Pedestrian,HAVERFORD AVE,Cobbs Creek Park,Rose Playground,Trail - Park,Primary,39.9743129542,-75.2598451329
Pedestrian and Vehicular,HAVERFORD AVE,Cobbs Creek Park,Rose Playground,"Trail - Park, Road",Primary,39.9740363231,-75.2591813572
Vehicular,HAVERFORD AVE,Cobbs Creek Park,Rose Playground,"Park, Road, Parking lot",Secondary,39.9739671222,-75.2590134779
Pedestrian,HAVERFORD AVE,Cobbs Creek Park, ,Trail - Park,Primary,39.9742569361,-75.2592073751
Pedestrian,HAVERFORD AVE,Cobbs Creek Park, ,Trail - Park,Primary,39.9740911019,-75.2588043011
Pedestrian,6839 LANSDOWNE AVE,Cobbs Creek Park,Papa Playground,Trail - Park,Primary,39.973975438,-75.2584914105
Pedestrian and Vehicular,6839 LANSDOWNE AVE,Cobbs Creek Park,Papa Playground,"Trail - Park, Road, Parkling lot",Primary,39.9741483212,-75.256939537
Pedestrian,6839 LANSDOWNE AVE,Cobbs Creek Park,Papa Playground,Trail - Park,Primary,39.9742092054,-75.2563451432
Pedestrian,6839 LANSDOWNE AVE,Cobbs Creek Park,Papa Playground,Trail - Park,Primary,39.9743385418,-75.2553092349
Pedestrian,N 68TH ST,Cobbs Creek Park,Morris Park,Trail - Park,Primary,39.9754612053,-75.2554947731
Pedestrian,N 68TH ST,Cobbs Creek Park,Morris Park,Trail - Park,Primary,39.9759711727,-75.2555854836
Pedestrian,N 68TH ST,Cobbs Creek Park,Morris Park,Trail - Park,Secondary,39.976760937,-75.2557388463
Pedestrian and Vehicular,MALVERN AVE,Cobbs Creek Park,Morris Park,Trail - Park,Primary,39.9781330645,-75.256000803
Pedestrian,MALVERN AVE,Cobbs Creek Park,Morris Park,Trail - Park,Primary,39.9782745186,-75.255752673
Pedestrian,LOTUS RD,Cobbs Creek Park,Morris Park,Trail - Park,Primary,39.9791302168,-75.255221118
Pedestrian,N 66TH ST,Cobbs Creek Park,Morris Park,Trail - Park,Primary,39.9795377737,-75.2552829967
Pedestrian,MORRIS PARK RD,Cobbs Creek Park,Morris Park,Trail - Park,Primary,39.9802999856,-75.2553857677
Pedestrian,MORRIS PARK RD,Cobbs Creek Park,Morris Park,Trail - Park,Primary,39.9803933134,-75.2554021728
