TYPE,ADDRESS,LOCATION,LOCATION_2,ENTRANCE_T,TYPE_2,LAT,LNG
Vehicular,200 NORTHWESTERN AVE,Wissahickon Valley Park, ,Park,Primary,40.0835773784,-75.2329190494
Pedestrian,120 NORTHWESTERN AVE,Wissahickon Valley Park, ,Park,Primary,40.085176735,-75.2312849181
Pedestrian,GERMANTOWN AVE,Wissahickon Valley Park,Gate,Park,Primary,40.0849585516,-75.2289640778
Pedestrian,GERMANTOWN AVE,Wissahickon Valley Park, ,Trail - Park,Primary,40.0840461503,-75.2281112407
Pedestrian,200 NORTHWESTERN AVE,Wissahickon Valley Park, ,Trail - Park,Primary,40.0834874495,-75.2329303224
Pedestrian and Vehicular,NORTHWESTERN AVE,Wissahickon Valley Park, ,"Trail - Park, Parking Lot",Primary,40.0807469138,-75.235847719
Pedestrian and Vehicular,NORTHWESTERN AVE,Wissahickon Valley Park, ,Trail - Park,Primary,40.0779859894,-75.2385881348
Vehicular,NORTHWESTERN AVE,Wissahickon Valley Park, ,Trail - Park,Primary,40.0775451507,-75.2390327037
Vehicular,LYKENS LN,Wissahickon Valley Park, ,Road,Secondary,40.0722089957,-75.2390928012
Vehicular,LYKENS LN,Wissahickon Valley Park, ,Road,Secondary,40.0700659347,-75.2378371448
Pedestrian,CLYDE LN,Wissahickon Valley Park, ,Trail - Park,Primary,40.0749979883,-75.2301119155
Vehicular,SEQUOIA RD,Wissahickon Valley Park, ,Road,Secondary,40.0706315684,-75.2333385802
Vehicular,SEQUOIA RD,Wissahickon Valley Park, ,Road,Secondary,40.0686970611,-75.2320781642
Vehicular,901 CATHEDRAL DR,Wissahickon Valley Park,Courtesy Stable Barn,Road,Primary,40.0673667279,-75.23119384
Pedestrian and Vehicular,CATHEDRAL DR,Wissahickon Valley Park, ,Trail - Park,Primary,40.067684347,-75.2297250369
Pedestrian,CATHEDRAL DR,Wissahickon Valley Park, ,Trail - Park,Primary,40.0666581633,-75.2250182556
Pedestrian,OLD LINE RD,Wissahickon Valley Park, ,Trail - Park,Primary,40.0618368542,-75.2267732989
Vehicular,SUMMIT AVE,Wissahickon Valley Park, ,Road,Secondary,40.0604273639,-75.2283028734
Vehicular,SUMMIT AVE,Wissahickon Valley Park, ,Road,Secondary,40.0596989069,-75.22986073
Pedestrian,SUMMIT AVE,Wissahickon Valley Park, ,Trail - Park,Primary,40.0597354915,-75.2296787515
Pedestrian and Vehicular,SEFFERT ST,Wissahickon Valley Park, ,Trail - Park,Secondary,40.061102129,-75.2331148886
Pedestrian and Vehicular,SEFFERT ST,Wissahickon Valley Park, ,Trail - Park,Secondary,40.0616003419,-75.2328420002
Pedestrian and Vehicular,SEFFERT ST,Wissahickon Valley Park, ,Trail - Park,Secondary,40.0617029454,-75.2326287742
Pedestrian and Vehicular,WISES MILL RD,Wissahickon Valley Park, ,"Trail - Park, Road",Primary,40.0538194407,-75.2310150851
Pedestrian,HENRY AVE,Wissahickon Valley Park, ,Trail - Park,Primary,40.0537133933,-75.2307631308
Pedestrian and Vehicular,WIGARD AVE,Wissahickon Valley Park,Wigard Street House,"Trail - Park, Road",Primary,40.052634879,-75.2269704232
Pedestrian and Vehicular,HENRY AVE,Wissahickon Valley Park,Wissahickon Offices - NW Philly,"Trail - Park, Road",Primary,40.050821117,-75.2230546959
Pedestrian,HENRY AVE,Wissahickon Valley Park,Saul High School,Trail - Park,Primary,40.0485071613,-75.2180626741
Vehicular,HENRY AVE,Wissahickon Valley Park,Saul High School,Road,Secondary,40.0487563551,-75.2187177634
Pedestrian and Vehicular,HENRY AVE,Wissahickon Valley Park,Pachella Field Shelter & Bath,"Trail - Park, Road",Primary,40.046229847,-75.2175764081
Pedestrian,GORGAS LN,Wissahickon Valley Park, ,Trail - Park,Primary,40.0429774635,-75.2196832787
Pedestrian,JANNETTE ST,Wissahickon Valley Park, ,Trail - Park,Primary,40.0348366815,-75.2095450854
Pedestrian,DUPONT ST,Wissahickon Valley Park, ,Trail - Park,Primary,40.0359283692,-75.2098607918
Pedestrian,ROXBOROUGH & MAGDALENA,Wissahickon Valley Park, ,Trail - Park,Primary,40.0325816334,-75.2055418582
Vehicular,700 WALNUT LN,Wissahickon Valley Park,Walnut Lane Golf Course,Road,Secondary,40.028671923,-75.2054743064
Vehicular,800 WALNUT LN,Wissahickon Valley Park,Walnut Lane Golf Course,Road,Secondary,40.0301678521,-75.2038260977
Vehicular,800 WALNUT LN,Wissahickon Valley Park,Walnut Lane Golf Course,"Road, Parking Lot",Primary,40.0300809606,-75.2036794449
Pedestrian,800 WALNUT LN,Wissahickon Valley Park,Walnut Lane Golf Course,Trail - Park,Primary,40.0295321227,-75.2033325601
Pedestrian,800 WALNUT LN,Wissahickon Valley Park,Walnut Lane Golf Course,Trail - Park,Primary,40.0305199614,-75.2013205827
Pedestrian,WALNUT LN,Wissahickon Valley Park, ,Trail - Park,Primary,40.0331558539,-75.1987295437
Pedestrian,694 WALNUT LN,Wissahickon Valley Park,Blue Bell Picnic Pavilion & Bath,"Trail - Park, Road, Parkling lot",Primary,40.0328888811,-75.1961314714
Pedestrian,WALNUT LN,Wissahickon Valley Park, ,Trail - Park,Primary,40.0320612525,-75.1938901089
Pedestrian,WALNUT LN,Wissahickon Valley Park, ,Trail - Park,Primary,40.0319086205,-75.1923618652
Pedestrian,WALNUT LN,Wissahickon Valley Park, ,Trail - Park,Primary,40.0320035947,-75.1918409634
Pedestrian,WISSAHICKON AVE,Wissahickon Valley Park, ,Trail - Park,Primary,40.0318028611,-75.1890354572
Pedestrian and Vehicular,5800 WISSAHICKON AVE,Wissahickon Valley Park,Rittenhouse Town,"Trail - Park, Road",Primary,40.0314820171,-75.188704262
Vehicular,WISSAHICKON AVE,Wissahickon Valley Park, ,Road,Secondary,40.031844182,-75.1889809027
Vehicular,WISSAHICKON AVE,Wissahickon Valley Park, ,Road,Secondary,40.0301489385,-75.1870735797
Pedestrian,5800 WISSAHICKON AVE,Wissahickon Valley Park,Rittenhouse Town,Trail - Park,Primary,40.0307873952,-75.187880825
Pedestrian,LINCOLN & WISSAHICKON,Wissahickon Valley Park, ,Trail - Park,Primary,40.0309700509,-75.1878613179
Pedestrian,RIDGE AVE,Wissahickon Valley Park, ,Trail - Park,Primary,40.0150306638,-75.2069528162
