GIS_FPC_PP,PERIMETER,MAT,LIGHTS,PARK,SPACES,LAT,LNG
47717.8100603,1554.2785538,Grass,0,West Park,80,39.9943786958,-75.213161081
767.80458696,118.3397876,Asphalt,1,West Park,2,39.9781230803,-75.2128079198
5967.38796927,339.73825509,Gravel,0,West Park,18,39.9778586236,-75.2125080718
3350.44724048,332.72367505,Concrete,0,West Park,14,39.9781453262,-75.2130683963
7532.45175575,929.30837885,Asphalt,0,West Park,30,40.0025191164,-75.1979720999
6489.32273038,403.54123097,Asphalt,1,West Park,24,39.9929368889,-75.2109333636
377.05995872,96.192393,Asphalt,1,West Park,4,39.9928205704,-75.2102749722
396.50620138,93.34904087,Asphalt,1,West Park,2,39.9925605199,-75.2104792896
1661.91092212,272.86000081,Gravel,1,West Park,10,39.9848793843,-75.216445504
1087.55628175,168.76216731,Gravel,1,West Park,6,39.9851819294,-75.2163788146
1464.36890242,200.5575764,Gravel,0,West Park,10,39.9851420692,-75.2162398064
4551.3924965,273.01437085,Gravel,0,West Park,8,39.9808626571,-75.2045951599
29221.7086011,694.19165176,Asphalt,1,West Park,75,39.979774295,-75.207786724
3902.41024836,722.04641736,Asphalt,1,West Park,20,39.9799641261,-75.2089738108
13772.6150597,608.28164603,Asphalt,1,West Park,25,39.979976385,-75.2100987575
12511.6344015,542.38913853,Asphalt,1,West Park,30,39.9798501079,-75.2098942015
21979.1595036,1216.68800361,Paved,0,West Park, ,39.9905053616,-75.212825024
4291.60012657,735.02308181,Asphalt,1,West Park, ,39.9778343837,-75.2095647342
3669.50282561,701.11251399,Asphalt,0,West Park, ,39.9779040591,-75.209675644
6631.4624215,1502.26461185,Asphalt,0,West Park, ,39.977792092,-75.2072172336
8074.29764302,1687.12456125,Asphalt,1,West Park, ,39.9777801288,-75.2074712408
4440.36941842,711.47049864,Asphalt,0,West Park, ,39.9781514936,-75.2104370412
4192.88828161,714.88866895,Asphalt,0,West Park, ,39.978219233,-75.2105463758
1369.08432719,395.11026476,Asphalt,0,West Park,10,39.9789124632,-75.2102455407
3334.47825398,978.16367227,Asphalt,1,West Park, ,39.9791250429,-75.2110803262
8227.46655437,2030.66186709,Asphalt,0,West Park, ,39.9796828464,-75.2123224798
177141.245489,1853.6984572,Earth,0,Zoo Parking - Letitia House, ,39.9754726124,-75.1971812648
9886.18446398,675.50554501,Paved,0,West Park, ,39.995491986,-75.2141134731
4555.678018,514.45533758,Paved,0,West Park, ,39.9883396584,-75.2137959204
884.74678984,134.70469626,Paved,0,West Park,6,39.9881594409,-75.2137542395
2186.69277499,275.22165445,Paved,0,West Park, ,39.9881264728,-75.2134760314
2367.06333136,200.13886814,Paved,0,West Park, ,39.9882681252,-75.2134761814
2397.07780894,206.32242042,Paved,0,West Park, ,39.9883602607,-75.2130984763
1808.73169657,230.24954033,Paved,0,West Park, ,39.9882297186,-75.2130415461
6927.97841473,839.27474761,Paved,0,West Park, ,39.9886037497,-75.2126158674
1074.57030097,153.6238369,Paved,0,West Park,8,39.9884735652,-75.212723396
927.01899044,135.37230099,Paved,0,West Park,6,39.9885408199,-75.2123387259
3263.30718181,241.41722033,Paved,0,West Park, ,39.9884981572,-75.2120071367
1474.0255406,228.6972719,Paved,0,West Park, ,39.9884268265,-75.2121679182
