GIS_FPC_PP,PERIMETER,MAT,LIGHTS,PARK,SPACES,LAT,LNG
2657.04047207,345.32271476,Asphalt,0,Pennypack on the Delaware,12,40.0286532494,-75.0128428777
4657.26564505,473.39537984,Asphalt,0,Pennypack on the Delaware,12,40.0282279415,-75.012382681
2509.20109112,329.70550441,Asphalt,0,Pennypack on the Delaware,12,40.0282274542,-75.0125607975
22477.0314009,2022.77238546,Gravel,0,Pennypack on the Delaware,60,40.0273591411,-75.0138401576
17292.9750944,2067.91181122,Gravel,0,Pennypack on the Delaware,60,40.0272324859,-75.0138349259
6265.77145397,469.56817716,Paved,0,Pennypack on the Delaware, ,40.0307723923,-75.021995096
7364.00313424,383.91882838,Paved,0,Pennypack on the Delaware,28,40.0332419833,-75.0172707408
47588.250247,1040.20344472,Paved,1,Zoo Parking - 34th St Lot,142,39.9730349867,-75.1948055562
4080.14806637,265.6315729,Paved,0,Pickett Pool, ,40.0320048243,-75.1797134319
1685.49046311,230.09437865,Paved,0,Sayre Morris Indoor Pool,8,39.9564803325,-75.2391972033
1498.98457848,184.0920601,Paved,1,Simons Recreation Center,7,40.0619108688,-75.1581193166
1014.4692897,140.79234397,Paved,1,South Philadelphia Older Adults Center,5,39.9313098131,-75.1623881105
953.31003024,137.53357006,Paved,1,South Philadelphia Older Adults Center,5,39.9314543714,-75.162587656
23312.8073668,623.33229417,Paved,1,South Philadelphia Older Adults Center,36,39.9319458393,-75.1631319103
3352.41418422,333.53567602,Asphalt,0,Tacony Creek Park, ,40.0373703499,-75.1130491749
6777.74706011,696.27376427,Paved,0,Tarken Rink, ,40.0399867341,-75.0832277622
32681.7604375,745.8467294,Gravel,0,Walnut Lane Golf Course, ,40.0297574286,-75.2040337428
4865.26329219,281.3489354,Paved,0,Walnut Lane Golf Course, ,40.0299699721,-75.2032814481
361.75947574,76.42279951,Paved,0,Walnut Lane Golf Course,2,40.0301129694,-75.2029747449
958.09281727,154.15267722,Paved,0,Walton Run, ,40.0901110438,-74.9847424323
5948.19693888,460.87341347,Asphalt,0,Water Tower Recreation Center, ,40.0755066928,-75.201050101
25029.5155414,978.33991249,Asphalt,0,West Park,50,39.9866980534,-75.2108933415
7519.78639451,469.76857682,Asphalt,1,West Park,25,39.9862335687,-75.2131700667
5266.69067811,908.44779501,Asphalt,1,West Park,20,39.9872222473,-75.2136448644
17888.2417801,760.72703505,Asphalt,0,West Park,60,39.9891563756,-75.202750712
7775.02330159,752.86068849,Asphalt,1,Winter Street,38,39.9592159498,-75.1746819365
2167.62917094,254.96709185,Paved,0,Winter Street,12,39.9586080492,-75.175328946
535.30870414,98.52808314,Paved,0,Winter Street,3,39.9587353503,-75.1754299086
454.48130999,92.03895067,Paved,0,Winter Street,4,39.9586976018,-75.1751813221
3636.29057253,310.06571389,Asphalt,1,Winter Street,12,39.9590759705,-75.1734575678
3816.98052067,259.01944195,Gravel,0,Wissahickon Valley Park, ,40.081542642,-75.2335174731
1421.0200615,216.90410444,Earth,1,Wissahickon Valley Park,14,40.0834972247,-75.2328342708
4614.18906599,646.28751913,Asphalt,0,Wissahickon Valley Park,40,40.0839889453,-75.2324928706
13496.8439469,595.75927793,Asphalt,1,Wissahickon Valley Park,40,40.0782569927,-75.2275975897
7050.47451915,563.14046669,Gravel,0,Wissahickon Valley Park,32,40.0796707065,-75.2253969408
2732.91078874,261.10616111,Earth,0,Wissahickon Valley Park,6,40.06214605,-75.2001787111
3865.84741394,398.49195607,Gravel,0,Wissahickon Valley Park,30,40.0451016019,-75.2154682341
3830.55266796,397.09674951,Gravel,0,Wissahickon Valley Park,16,40.0458579715,-75.2161891295
1135.09065711,159.87984105,Gravel,0,Wissahickon Valley Park,8,40.0461510161,-75.2164720369
1230.39366504,227.5274469,Gravel,0,Wissahickon Valley Park,15,40.0462938734,-75.2173001255
14643.4902509,789.21414007,Gravel,1,Wissahickon Valley Park,30,40.0558873577,-75.2182482495
16962.3127427,1204.0592929,Asphalt,0,Wissahickon Valley Park,50,40.0568139082,-75.2138630659
826.4077707,131.28738251,Asphalt,0,Wissahickon Valley Park,5,40.0363652003,-75.2041787158
548.32716196,94.56778951,Asphalt,0,Wissahickon Valley Park,2,40.0313518603,-75.1953902792
3253.25741009,443.20087981,Asphalt,0,Wissahickon Valley Park,30,40.0320451038,-75.1956969294
5263.69431208,654.6535623,Asphalt,0,Wissahickon Valley Park,30,40.0320603922,-75.1955694871
2932.80470578,439.34292091,Paved,1,Wissahickon Valley Park,20,40.0548476351,-75.2181407509
3600.61477527,455.28303288,Paved,1,Wissahickon Valley Park,23,40.0548316394,-75.2180006275
539.88953482,138.4156443,Asphalt,0,Wissahickon Valley Park,2,40.0223852115,-75.1990168641
587.14975772,163.61621638,Paved,0,Wissahickon Valley Park,3,40.022574934,-75.1977131241
5996.98335383,321.04492379,Asphalt,0,Wissahickon Valley Park, ,40.0174426969,-75.2013455673
2360.02832503,201.81696722,Paved,0,Wissahickon Valley Park, ,40.0174965505,-75.2019998
984.99798062,129.55537088, ,0,Wissahickon Valley Park, ,40.0553038165,-75.2173944341
4414.59882113,446.62595494,Asphalt,0,Wissinoming Playground,18,40.0251949676,-75.071660819
2824.15586523,310.49321047,Asphalt,0,Wissinoming Playground,12,40.0235037297,-75.0702902229
1721.95472552,221.47929808,Asphalt,0,Wissinoming Playground,8,40.0233402737,-75.0705736687
1390.08021197,183.99476801,Asphalt,0,Wissinoming Playground,8,40.0235809369,-75.0706296279
1355.04557817,194.62475777,Asphalt,0,Wissinoming Playground, ,40.0232826699,-75.0702588823
918.34573691,142.5242489,Paved,1,Carousel House,6,39.9794785542,-75.2129918632
647.78534728,116.57654117,Paved,1,Carousel House,4,39.9793894458,-75.2127451614
604.51916058,98.90788168,Paved,0,Carousel House,3,39.9792041184,-75.2126186496
1019.27622072,190.09219619,Paved,0,Carousel House,3,39.9794380044,-75.2125020446
1574.00556337,189.78014249,Paved,0,Carousel House,3,39.979385249,-75.2123669238
5640.68824522,308.99857431,Paved,1,Carousel House, ,39.9792743771,-75.2121253041
2450.93335916,276.10773992,Paved,1,Fort Mifflin,11,39.8756654296,-75.2107796682
3406.51056709,353.68979883,Paved,1,Fort Mifflin,15,39.8756045873,-75.2109237979
12853.9698066,474.95999101,Earth,0,Andorra Natural Area,20,40.0805409624,-75.2357209289
1221.61982896,179.94090352,Asphalt,0,Wissahickon Valley Park,6,40.0844405037,-75.2320462767
2878.81003545,529.67458987,Asphalt,1,Wissahickon Valley Park,22,40.0848596785,-75.2316323638
3303.11120459,452.06176298,Asphalt,1,Wissahickon Valley Park,20,40.085414155,-75.2310599651
16785.2094302,745.47995329,Asphalt,1,Cobbs Creek Park,40,39.9680238431,-75.2514874464
4332.4879133,390.45172186,Asphalt,1,Cobbs Creek Park,7,39.9742717611,-75.2568021826
16481.290296,826.35367069,Asphalt,1,East Fairmount Park,80,39.9675269038,-75.1825121629
4285.7046827,270.79395807,Gravel,1,East Fairmount Park,12,40.0138257951,-75.207503801
5895.12549055,499.93991598,Asphalt,0,Pennypack Creek Park,10,40.0440697478,-75.021581179
19107.121433,949.31784443,Paved,0,East Fairmount Park, ,39.9813096328,-75.1905907266
98402.3944343,1348.93253401,Paved,0,Zoo Parking - 35th St Lot (B), ,39.9742511219,-75.1979124502
113833.095212,6953.21190626,Paved,1,Zoo Parking - Zoological Drive Parking (A), ,39.9711192962,-75.196434808
137597.973053,2367.12385065,Asphalt,0,Zoo Parking - 38th St Lot (C),472,39.9748957498,-75.2009905566
71494.8914784,1181.89300133,Asphalt,0,Tacony Creek Park,276,40.0382210635,-75.1133322298
21682.3561617,625.61788816,Paved,0,Krewstown Stables, ,40.0793219088,-75.0579213772
3199.67657049,359.85533317,Paved,0,Pennypack on the Delaware, ,40.0268343735,-75.0156149872
2906.95710298,341.92872761,Paved,0,Pennypack on the Delaware, ,40.0264346383,-75.0159830318
2714.75909859,353.54348173,Paved,0,Pennypack on the Delaware, ,40.0260328544,-75.0163476512
12969.1118158,460.45438726,Paved,0,East Fairmount Park, ,39.9953518329,-75.1894742985
7969.88371197,566.53231748,Paved,0,East Fairmount Park,33,39.9965027838,-75.1883515876
12627.1156899,492.87731354,Grass,0,Horticulture Center,41,39.9849367948,-75.2091274679
26149.1113432,647.86711005,Paved,1,Horticulture Center,62,39.9846247016,-75.2093685982
3297.25606717,244.83089544,Paved,0,Horticulture Center, ,39.9846298351,-75.2098789102
7068.71066095,415.61174242,Paved,0,Horticulture Center, ,39.9845450804,-75.2089337931
1908.53761526,212.98157079,Asphalt,0,Sissler Recreation Center,8,39.977111208,-75.1326105278
3862.79082675,406.95696964,Asphalt,0,Shissler Recreation Center,20,39.9767607107,-75.1328155113
4438.7397678,298.69829979,Paved,0,Walton Run, ,40.089750884,-74.9852538861
