16TH ST,JFK BLVD,N 16TH ST & JOHN F KENNEDY BLVD,-75.16661762,39.95379916
SPRING GARDEN ST,8TH ST,SPRING GARDEN ST & N 8TH ST,-75.15179241,39.96144493
MARKET ST,4TH ST,MARKET ST & N 4TH ST,-75.14725817,39.95037181
19TH ST,JFK BLVD,N 19TH ST & JOHN F KENNEDY BLVD,-75.17136677,39.95438128
GREENE ST,CHELTEN AV,GREENE ST & W CHELTEN AVE,-75.17649624,40.03409786
WAYNE AV,CHELTEN AV,WAYNE AVE & W CHELTEN AVE,-75.17891466,40.03173807
GERMANTOWN AV,SEDGWICK ST,GERMANTOWN AVE & E SEDGWICK ST,-75.1880777,40.05689949
GERMANTOWN AV,NORTHWESTERN,GERMANTOWN AVE & NORTHWESTERN AVE,-75.230501,40.08602376
WAYNE AV,SCHOOL HOUSE LN,WAYNE AVE & W SCHOOL HOUSE,-75.17670603,40.0304612
GERMANTOWN AV,CHELTEN AV,GERMANTOWN AVE & E CHELTEN AVE,-75.17472532,40.03582198
GERMANTOWN AV,HAINES ST,GERMANTOWN AVE & E HAINES ST,-75.17695586,40.03842369
GERMANTOWN AV,ASHMEAD PL,GERMANTOWN AVE & S ASHMEAD PL,-75.16648912,40.03079541
STENTON AV,MT PLEASANT AV,STENTON AVE & E MOUNT PLEASANT AVE,-75.17930583,40.06748374
WADSWORTH AV,PICKERING AV,WADSWORTH AVE & PICKERING AVE,-75.17260021,40.08046969
CB MOORE AV,BROAD ST,CECIL B MOORE AVE & N BROAD ST,-75.15791563,39.97870886
GIRARD AV,12TH ST,W GIRARD AVE & N 12TH ST,-75.1557193,39.97098284
GIRARD AV,PALMER ST,E GIRARD AVE & E PALMER ST,-75.12842762,39.97085102
GIRARD AV,29TH ST,W GIRARD AVE & N 29TH ST,-75.18346786,39.97456687
GIRARD AV,11TH ST,W GIRARD AVE & N 11TH ST,-75.15415068,39.97077954
OLD YORK RD,MEDARY AV,OLD YORK RD & MEDARY AVE,-75.14416856,40.04988721
GIRARD AV,8TH ST,W GIRARD AVE & N 8TH ST,-75.14996763,39.97048649
BROAD ST,66TH AV,N BROAD ST & 66TH AVE,-75.14156141,40.05360098
OGONTZ AV,74TH AV,OGONTZ AVE & 74TH AVE,-75.15628673,40.06700763
GIRARD AV,17TH ST,W GIRARD AVE & N 17TH ST,-75.16427914,39.97208217
LINDLEY AV,BROAD ST,LINDLEY AVE & N BROAD ST,-75.14657624,40.03063853
